areaname;area vice;employyee
FUNDACION (CLS53000029);ASUNTOS CORPORATIVOS (CLS80000002);2000027976
MANTENIMIENTO INSTRUMENTACION Y CONTROL TERMICAS (CLS53000488);GENERACION (CLS80000006);2000028137
DIGITALIZACION EFICIENCIA ENERGETICA (CLS53000483);COMERCIAL (CLS80000004);2000028259
MOVILIDAD ELECTRICA (CLS53000211);COMERCIAL (CLS80000004);2000029779
CONFIABILIDAD MANTENIMIENTO (CLS53000248);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001689
RELACIONAMIENTO Y GESTION (CLS53000321);FINANCIERA (CLS80000005);2000023344
CONTROL DE ENERGIA (CLS53000572);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001941
FINANZAS (CLS53000525);ENERBIT (CLS80000022);2000003486
TECNOLOGIA (CLS53000526);ENERBIT (CLS80000022);2000023121
COMPRAS CORPORATIVAS (CLS53000006);FINANCIERA (CLS80000005);2000003604
MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA (CLS53000378);GENERACION (CLS80000006);2000005337
SOLUCIONES A COLABORADORES (CLS53000281);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000023122
MANTENIMIENTO INSTRUMENTACION CENTRALES GENERACION (CLS53000196);GENERACION (CLS80000006);2000004978
PRUEBAS E INGENIERIA TYD (CLS53000571);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005088
OPERACION DEL MEM (CLS51000848);GENERACION (CLS80000006);2000001892
PROGRAMACION Y CONTROL GENERACION (CLS53000353);GENERACION (CLS80000006);2000020207
GESTION CONTABLE (CLS51000483);FINANCIERA (CLS80000005);2000020250
PROYECTOS GRANJAS FOTOVOLTAICAS (CLS53000022);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001870
PLANEACION DEL MANTENIMIENTO TYD (CLS53000232);TRANSMISION Y DISTRIBUCION (CLS80000008);2000029411
MARCA PROPIA Y CANALES MASIVOS (CLS53000295);COMERCIAL (CLS80000004);2000025609
LOGISTICA Y OPERACIONES RETAIL (CLS53000452);FINANCIERA (CLS80000005);2000028508
CENTRO DE CONTROL (CLS53000345);TRANSMISION Y DISTRIBUCION (CLS80000008);2000020899
ANALISIS CONTABLE (CLS53000247);FINANCIERA (CLS80000005);2000026260
OPERACION TALENTO HUMANO (CLS51000526);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000026623
EXPERIENCIAS DE SERVICIO ZONA (CLS53000319);COMERCIAL (CLS80000004);2000027666
EJECUCION CRECIMIENTO DE RED (CLS53000457);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027944
GESTION TECNICA ELECTRICA CENTRALES (CLS53000389);GENERACION (CLS80000006);2000028351
MANTENIMIENTO ZONA TOLIMA SUR (CLS53000261);TRANSMISION Y DISTRIBUCION (CLS80000008);2000032409
PROYECTOS TYD (CLS51000662);TRANSMISION Y DISTRIBUCION (CLS80000008);2000031238
